CUSTOMER_ID,SEX,AGE,ANNUAL_INCOME,NUMBER_OF_MONTHS,MARITAL_STATUS,LEASE
9917,M,48,28000.0,14,J,P
9927,W,59,20800.0,13,C,P
9936,M,52,27859.0,13,J,P
9941,M,58,26000.0,13,J,P
9946,M,69,27820.0,13,J,P
9953,M,46,18200.0,14,J,P
9992,W,42,28000.0,14,G,R
9998,M,56,19084.0,13,D,R
10000,M,57,16900.0,13,J,R
10262,M,49,16200.0,12,J,P
10285,M,65,26000.0,13,J,P
10288,M,42,16620.0,12,J,P
10327,M,56,16900.0,13,J,R
10339,M,37,21000.0,14,J,P
10371,M,41,26000.0,13,J,P
10376,M,57,14400.0,12,J,P
10383,M,44,29868.0,12,G,P
10394,M,60,25350.0,13,J,P
10414,M,64,16250.0,13,J,A
10416,W,69,9425.0,13,J,P
10427,W,49,26000.0,13,J,P
10432,W,53,13000.0,13,S,A
10433,W,58,18000.0,12,J,R
10437,M,37,27600.0,12,J,A
10463,M,40,20678.0,14,J,P
10467,M,46,27300.0,13,J,P
10484,M,52,14400.0,12,J,P
10493,W,33,8866.0,13,G,A
10500,M,47,75660.0,12,J,P
10519,M,41,22659.0,13,J,P
10534,M,43,15000.0,12,C,P
10547,M,63,24000.0,12,J,P
10561,W,46,9100.0,13,G,R
10562,W,42,25350.0,13,J,P
10569,M,57,24700.0,13,J,P
10571,M,38,22400.0,14,J,P
10576,M,57,15600.0,12,J,P
10590,W,42,20800.0,13,G,P
10604,M,53,18256.0,14,J,P
10605,M,55,16450.0,14,J,P
10616,M,47,30186.0,13,J,P
10618,M,44,20878.0,13,C,P
10620,W,47,19500.0,13,J,P
10624,W,60,19500.0,13,J,P
10631,M,57,10200.0,12,J,P
10639,W,36,21000.0,14,J,P
10648,M,46,14924.0,13,J,R
10651,M,65,24050.0,13,D,R
10660,M,35,22260.0,14,G,A
10664,W,38,19292.0,14,G,P
10666,M,35,21320.0,13,C,P
10669,W,46,20800.0,13,G,P
10678,M,48,16800.0,14,J,P
10699,M,63,20410.0,13,J,R
10701,W,44,20552.0,14,C,P
10705,W,61,13325.0,13,J,P
10730,M,57,24000.0,12,J,P
10732,M,34,21268.0,13,J,R
10751,W,41,28600.0,13,J,P
10758,W,64,18824.0,13,D,R
10769,M,49,27300.0,13,J,P
10794,M,54,16939.0,13,J,R
10811,M,51,2450.0,13,S,P
10814,M,45,32200.0,14,J,P
10815,M,55,23400.0,13,J,P
10821,M,55,34552.0,14,J,A
10838,W,42,14300.0,13,J,P
10849,M,59,16250.0,13,J,P
10854,M,61,36276.0,12,J,P
10877,M,46,15600.0,13,J,P
10909,M,60,13620.0,12,J,R
10912,M,50,25129.0,13,J,P
10919,M,44,27300.0,13,G,P
10923,W,44,15600.0,13,J,P
