CUSTOMER_ID,STATUS,SECTOR_TYPE,GOOD_VALUE,ADVANCE_VALUE,LOAN_VALUE,INSTALLMENT_VALUE,NUMBER_INSTALLMENT,GAPR,NIR,REFINANCED,FROM_REFINANCE
2072,CONCLUDED REGULARLY,FL,3000.0,0.0,3000.0,94.0,36,9.34872,7.56698,N,N
2072,CONCLUDED REGULARLY,FL,858.9,0.0,858.9,42.95,20,0.0133,0.0133,N,N
2102,CONCLUDED REGULARLY,CL,22000.0,12000.0,10200.0,244.5,48,8.385,7.052,N,N
2102,CONCLUDED REGULARLY,FL,2300.0,0.0,2300.0,135.0,18,8.58438,7.02348,N,N
2108,CONCLUDED REGULARLY,FL,3152.0,802.0,2350.0,251.2,10,15.812,14.77,N,N
2108,EARLY EXPIRED,FL,6960.56,0.0,6960.56,274.85,30,14.432,13.557,Y,N
2108,EARLY EXPIRED,PL,11000.0,0.0,11899.35,394.7,36,13.904,11.907,Y,Y
2108,EARLY EXPIRED,PL,22000.0,0.0,24381.33,328.5,120,11.28546,10.26849,Y,Y
2108,EARLY EXPIRED,PL,26000.0,0.0,29433.28,430.0,120,13.82803,12.45151,N,Y
2111,CONCLUDED REGULARLY,FL,599.0,0.0,599.0,49.92,12,4.8918,0.01233,N,N
2111,CONCLUDED REGULARLY,FL,499.0,0.0,533.93,44.49,12,18.34345,0.0,N,N
2111,CONCLUDED REGULARLY,FL,321.9,0.0,321.9,32.19,10,19.36993,0.0,N,N
2111,CONCLUDED REGULARLY,FL,279.0,0.0,279.0,27.9,10,22.64929,0.0,N,N
2111,CONCLUDED REGULARLY,FL,1237.89,0.0,1237.89,123.79,10,0.00177,0.00177,N,N
